income,loan_amount,interest_rate,previous_loan_status,loan_approved,default_risk_score
321958,458548,8.52,0,0,90.91
871155,195693,9.29,1,1,25.6
331932,960789,13.24,1,0,100.0
1614414,935621,12.66,1,0,55.37
459178,614790,8.75,0,0,88.43
1892743,348818,10.66,0,0,32.26
310268,611548,13.36,1,0,100.0
932180,1010002,5.18,0,0,61.26
1303462,754824,13.02,0,0,51.77
337337,646093,14.47,1,0,100.0
1199890,245991,5.32,1,1,24.59
1770006,235541,5.46,1,1,13.73
1336074,67194,8.45,0,0,24.4
1112756,732171,5.88,1,1,48.42
375203,908809,9.79,1,0,100.0
1439911,618011,12.29,1,0,43.57
478167,1329984,10.67,0,0,100.0
241090,518451,6.96,1,0,100.0
529365,1340689,11.55,1,0,100.0
1313396,1174874,11.85,1,0,64.27
987201,633526,14.32,1,0,65.26
1570455,309425,6.47,0,0,23.97
1966891,560609,11.92,0,0,36.45
527069,1205668,14.11,0,0,100.0
1447617,1362867,10.02,1,0,66.55
991743,1328567,8.62,1,0,80.14
303355,350589,6.71,1,0,75.1
1484372,759163,13.67,0,0,53.02
1462752,1290756,8.94,1,0,64.25
384779,680458,14.25,0,0,100.0
1596025,397761,13.48,1,0,39.46
1670485,263482,8.77,0,0,22.54
1189436,889934,10.74,1,1,62.05
1507371,874187,5.27,1,1,42.29
686232,845911,7.63,1,1,73.38
1117040,649649,12.1,1,0,49.02
1748762,478910,11.78,0,0,40.49
356730,1222808,8.53,1,0,100.0
1633257,131171,13.09,1,0,30.68
1398079,426295,7.36,1,1,30.31
854811,136296,9.61,0,0,24.22
727035,1239138,9.73,1,0,100.0
848143,202324,8.41,0,0,28.78
1700942,548506,14.55,1,0,45.32
265725,712222,11.97,0,0,100.0
1378557,291535,10.39,1,1,34.74
284654,1430679,10.11,1,0,100.0
1153277,1416742,6.59,0,0,73.99
791723,833258,8.72,1,1,67.66
519030,1270575,11.73,1,0,100.0
1577523,805737,14.25,0,0,51.29
755839,1055594,13.16,0,0,98.82
473538,1410573,8.0,1,0,100.0
531236,1130402,9.34,1,0,100.0
728178,646649,5.83,1,1,57.0
765894,290028,6.02,1,1,31.54
689492,1438710,9.7,1,0,100.0
1505416,1450507,10.3,0,0,69.4
673254,1315832,7.64,1,0,100.0
549457,90736,11.43,1,1,26.61
865987,1385250,12.03,1,0,100.0
1519512,259124,7.99,1,1,27.63
1488507,1276706,12.58,1,0,71.53
1488205,680368,7.06,0,0,40.32
1453617,517310,10.44,1,1,39.72
898361,1434975,13.04,1,0,100.0
1980488,710246,10.37,1,1,35.48
1665689,438742,14.08,0,0,38.07
268148,274793,5.59,1,0,57.75
848531,692911,10.88,1,1,67.48
1500571,1398107,10.62,0,0,66.31
1106606,726935,11.6,0,0,58.67
878843,1076153,13.33,1,0,83.48
772843,482859,12.26,0,0,53.75
456508,451072,12.9,1,0,76.44
1003591,481385,7.89,1,1,40.01
1096942,741150,8.87,1,1,48.6
306530,1391708,11.27,1,0,100.0
804365,1437168,10.53,1,0,100.0
660337,1006010,14.61,1,0,100.0
1973415,1474150,6.87,1,0,47.06
1005889,793264,8.51,1,1,57.81
1708349,510522,10.73,1,1,32.96
408261,715329,13.68,1,0,100.0
1589673,324548,14.29,1,0,35.08
1563715,508521,8.36,1,1,31.99
1420405,220534,5.67,1,1,17.62
471836,331504,9.22,1,0,56.13
1687550,922089,8.94,1,1,46.61
1189913,469503,14.86,1,0,53.82
402283,246544,9.31,1,0,53.48
396769,1345088,8.06,0,0,100.0
761353,1132736,8.65,1,0,94.4
1471741,1367509,8.97,1,0,65.65
1872163,208253,13.22,0,0,33.92
1246797,719745,5.81,1,1,41.66
1150110,1164217,8.17,0,0,65.07
1784398,1329898,14.66,1,0,65.09
687879,317688,6.53,1,1,36.9
764685,821143,12.43,0,0,80.75
982038,456491,8.56,0,0,39.42
1602107,637536,10.82,1,1,37.96
1511736,346694,6.0,0,0,23.06
1207293,965356,8.06,0,0,60.73
779879,1301397,10.01,0,0,100.0
1469460,830237,7.32,0,0,44.38
223247,1376325,10.42,0,0,100.0
1272876,546389,7.2,1,1,34.63
1715857,100713,11.5,1,1,29.81
807086,1436123,14.04,0,0,100.0
733556,894898,5.85,0,0,71.09
1597527,1038722,7.17,1,0,42.84
1522905,1479958,13.44,0,0,72.26
1967640,145335,11.32,1,1,24.99
942139,157441,5.79,0,0,24.53
632315,1115560,9.86,0,0,100.0
1126075,947748,7.1,0,0,60.55
716588,465976,6.99,0,0,43.31
1485160,706884,14.41,1,0,57.32
1810908,692742,12.62,0,0,42.3
1178732,1147978,11.96,1,0,73.95
1625472,141656,7.39,1,1,14.83
248984,115614,6.19,1,0,33.59
502918,216963,13.71,0,0,46.1
464712,403153,5.06,0,0,48.53
1368727,483048,8.88,1,1,31.97
1704384,1406556,7.78,0,0,57.75
333767,1037938,10.7,1,0,100.0
848663,833077,7.51,1,1,66.33
1952126,986066,8.11,1,1,43.19
336330,1032014,13.5,0,0,100.0
680754,912839,11.03,1,1,92.78
1550224,844042,6.46,1,1,43.34
1937095,1114367,12.26,1,0,52.76
213986,1156623,7.07,0,0,100.0
786146,284898,9.33,1,1,36.8
1377888,511122,11.47,1,1,41.84
212666,725025,7.72,1,0,100.0
1549380,120246,8.84,1,1,21.96
334633,1295512,12.34,1,0,100.0
488998,1333531,14.38,0,0,100.0
1050937,398292,10.29,1,1,41.99
828776,620178,5.1,1,1,44.44
1956187,1498586,8.38,0,0,51.45
