income,loan_amount,interest_rate,previous_loan_status,debt_to_income_ratio,credit_score,employment_type,co_applicant,institution_ranking,loan_status
321958,1173129,13.427119021605549,0,3.643733033501264,498,1,1,3,0
871155,642632,8.13347917585143,0,0.7376781399406535,785,0,0,2,0
331932,759662,12.889324717760072,0,2.2886073051106854,832,2,1,1,0
1614414,621926,13.918721448107348,0,0.3852332796915785,499,3,0,2,0
459178,1176825,9.338174195765294,0,2.5628949993248806,670,3,1,4,0
1892743,577007,14.09943143854392,1,0.30485226995952436,747,3,1,5,1
310268,728250,8.773180539631928,1,2.347164386917117,547,0,0,2,0
932180,520452,14.640784164901081,1,0.5583170632281319,563,1,1,1,0
1303462,92534,5.89289524525573,0,0.0709909456508897,357,0,1,4,0
337337,545518,11.870192665032427,1,1.6171306438368753,601,3,1,3,0
1199890,666529,9.938140404569287,1,0.5554917534107293,330,2,0,4,0
1770006,462003,8.876488054556471,1,0.261017759261833,797,1,0,2,0
1336074,176209,11.32711878748601,0,0.13188565902786822,548,0,0,1,0
1112756,492061,12.038570916343312,1,0.4422002667251401,570,0,0,2,0
375203,1287580,5.04363269650309,0,3.4316889790326837,693,1,0,3,0
1439911,666412,6.669530887471987,1,0.46281471563173,801,1,1,3,1
478167,214134,12.130460506343187,0,0.4478226226402073,891,2,0,1,0
241090,1174289,11.663854135782064,0,4.870749512630138,383,1,0,5,0
529365,538972,14.660475051286772,0,1.0181481586429024,664,2,0,4,0
1313396,1027965,12.61037790250783,1,0.782677120990166,848,3,1,4,0
987201,1173994,14.50772707731338,1,1.1892147597095222,641,3,1,3,0
1570455,1034176,12.02540501534807,0,0.6585199830622336,706,0,0,2,0
1966891,1226808,7.980522086394432,1,0.6237295305128754,724,3,1,2,0
527069,570551,6.0536492225085645,0,1.082497737487881,392,3,1,5,0
1447617,213038,12.818238633449356,0,0.1471646160552135,711,2,1,2,0
991743,1040049,11.441492214759158,1,1.0487081834709193,731,0,1,4,0
303355,980491,5.481860123932963,1,3.232157043727646,458,1,0,2,0
1484372,1266959,8.600504659009783,1,0.8535319987173027,313,0,0,5,0
1462752,1424572,14.567998154842861,0,0.9738985145807355,672,3,1,4,0
384779,308722,10.004011457102013,0,0.802335886313962,524,1,1,2,0
1596025,182079,9.327291360197046,1,0.11408279945489576,804,0,1,4,1
1670485,252053,9.576996051592939,0,0.15088611989931067,372,0,1,3,0
1189436,650530,7.0888272400516374,1,0.5469230795099527,548,0,0,3,0
1507371,1277165,8.687071708647952,0,0.8472798003941963,810,0,1,3,0
686232,1127833,8.698132559871766,1,1.6435156040522738,515,2,0,2,0
1117040,530488,5.523550201874724,1,0.47490510635250305,840,0,1,5,1
1748762,485423,12.675676285179183,0,0.2775809401164938,519,3,0,4,0
356730,1242929,9.16504431903879,1,3.484228968687803,520,3,1,1,0
1633257,373390,13.221798868164234,1,0.22861680678545998,688,2,0,3,1
1398079,313579,13.503480011198954,0,0.22429276171089044,853,1,0,3,0
854811,1328523,7.11994054698658,1,1.5541716239028276,341,1,0,1,0
727035,1330334,11.573534821701285,0,1.8298073682835077,582,3,1,1,0
848143,1256308,9.722818041629818,1,1.4812454975163387,357,3,0,2,0
1700942,1049701,13.80156737921485,0,0.6171292142824388,836,2,1,4,0
265725,981011,7.157406791764541,1,3.6918280176874587,372,1,0,3,0
1378557,188563,11.778132003100442,1,0.13678288239078978,428,1,0,5,0
284654,833066,11.077521222527226,1,2.926591581358421,898,0,1,2,0
1153277,755552,7.953014775718328,1,0.655134889536512,725,0,0,2,0
791723,376032,6.366009036511726,0,0.4749539927474634,424,0,1,5,0
519030,647897,11.516397604772767,0,1.2482842995587924,366,2,1,5,0
1577523,822800,12.385974581323307,0,0.5215771814420456,305,3,1,5,0
755839,1352549,8.1562734376335,0,1.7894670690451273,613,2,1,1,0
473538,1381673,11.448326040223138,0,2.917765839277946,625,1,0,3,0
531236,1475402,8.951309076115033,0,2.7773004841539355,864,3,0,1,0
728178,1213950,12.132068832826178,0,1.6671061196575563,877,0,1,3,0
765894,599148,6.992152748940531,1,0.7822857993403787,805,2,0,1,0
689492,726555,13.902150026361744,1,1.053754068212539,381,2,0,4,0
1505416,651763,7.8740959646557975,1,0.43294544497999227,898,0,1,3,1
673254,534090,8.677859877561529,1,0.7932964378971383,301,2,0,2,0
549457,923698,5.580919520803498,0,1.681110623761277,503,0,1,3,0
865987,726787,6.115122123212764,0,0.8392585569991236,703,1,0,3,0
1519512,1387803,10.158619027123281,0,0.913321513749151,402,3,0,3,0
1488507,792406,7.675926767279715,1,0.5323495287559951,835,1,1,4,1
1488205,893804,13.354802257421944,0,0.6005919883349404,667,1,0,1,0
1453617,698074,5.146933886549538,1,0.48023241335234795,511,0,0,2,0
898361,1011568,8.79094048671936,0,1.1260150429504396,876,2,1,1,0
1980488,1130174,8.373455467690928,0,0.5706543033838125,508,1,0,1,0
1665689,339226,5.19327630917601,0,0.20365506406057793,416,1,1,5,0
268148,865673,6.243683990005103,0,3.228340319525038,777,1,0,4,0
848531,277286,9.136426749186352,1,0.3267835824501403,404,2,1,5,0
1500571,487785,9.928645844474467,1,0.32506625811107903,794,2,1,4,1
1106606,1110321,9.042897472548692,0,1.0033571117452824,345,0,1,1,0
878843,862461,10.30937678412094,1,0.9813595829971906,630,1,1,1,0
772843,1242673,10.951316749056815,0,1.6079242485213685,515,3,1,4,0
456508,282732,5.099238211278356,0,0.6193363533607297,791,2,0,1,0
1003591,663474,9.64095159453504,0,0.6610999899361393,748,0,0,1,0
1096942,974044,14.634992408875883,0,0.8879630828247984,835,1,1,2,0
306530,934200,10.190322801295487,1,3.0476625452647377,810,3,0,5,0
804365,263030,11.775422674589532,0,0.32700328830816855,757,2,1,5,1
660337,774238,8.118638579168831,0,1.172489198697029,846,3,0,5,0
1973415,1068652,12.739913781527626,1,0.5415242105689883,835,2,0,3,1
1005889,1436652,12.72921481876115,0,1.4282410882314052,839,0,1,2,0
1708349,198554,10.21296047654139,1,0.11622566583291821,783,3,1,5,1
408261,335555,14.760138232792135,0,0.8219129429458116,315,1,0,5,0
1589673,494191,6.255502147626534,0,0.31087588453726017,870,1,0,2,0
1563715,1439517,5.1694766488958095,0,0.9205750408482364,542,2,1,1,0
1420405,364451,12.70158211757096,0,0.2565824535959814,506,1,0,5,0
471836,970597,13.071555373648826,0,2.057064318958282,570,3,0,1,0
1687550,1382762,6.202072291205763,0,0.8193902402891766,414,0,1,5,0
1189913,822944,7.655828329586061,1,0.6916001421952698,879,2,0,4,0
402283,818747,5.175523633666289,0,2.03525130318706,598,3,1,3,0
396769,274695,7.9330861078056465,1,0.6923297939103106,782,2,1,5,0
761353,934315,12.731418739186715,1,1.2271771438478603,696,0,1,4,0
1471741,1394476,10.17960527712579,0,0.9475009529529992,693,2,0,2,0
1872163,1151844,8.480955931682882,1,0.6152477108029589,374,1,0,4,0
1246797,1311519,8.717392949063303,0,1.051910615761828,781,1,1,2,0
1150110,758691,5.013536257154682,1,0.6596682056498944,402,2,1,5,0
1784398,623189,7.998005275652359,0,0.34924327420227996,596,0,0,2,0
687879,1460706,11.464587416379306,1,2.1234926491432358,477,0,0,4,0
764685,1293064,14.741944438163571,1,1.6909760228067767,514,1,0,3,0
982038,440530,13.470608269838994,0,0.4485875291994811,614,0,1,1,0
1602107,712784,5.235949646455291,1,0.44490411689106907,338,2,1,1,0
1511736,291531,13.985606046748394,0,0.1928451793170236,558,3,0,3,0
1207293,1345269,12.83198413298626,0,1.1142854302973677,306,2,0,1,0
779879,1044465,12.803761235709803,0,1.339265450153165,348,1,0,5,0
1469460,969484,9.579957590035715,0,0.6597552842540797,837,1,1,5,0
223247,753650,8.980052929545028,0,3.375857234363732,460,1,1,4,0
1272876,1336936,8.029157288331927,1,1.0503269760762242,475,0,0,4,0
1715857,394855,5.656948589543658,1,0.23012115811515763,890,2,0,2,0
807086,1124961,7.282353634936991,1,1.3938551777629646,301,3,1,4,0
733556,481374,7.466036349780246,0,0.656219838703521,754,2,1,5,0
1597527,330783,9.840770697102016,1,0.20705941120243976,575,3,0,4,0
1522905,1184106,12.474444065966939,1,0.7775311001014509,797,2,0,1,0
1967640,333707,9.738098283979467,1,0.16959758898985586,327,1,0,2,0
942139,427816,5.578444494471606,1,0.4540901077229581,632,3,1,2,0
632315,1036420,14.57789800988204,1,1.639088112728624,300,2,0,5,0
1126075,395114,14.427243190941123,0,0.35087716182314677,487,0,1,4,0
716588,293373,12.851895431484085,0,0.4094026134961791,355,0,1,1,0
1485160,397697,14.913279015642205,1,0.2677805758302136,846,2,0,4,1
1810908,1260355,10.444823328002629,0,0.6959795859314775,411,1,0,3,0
1178732,1268758,14.627683502532062,0,1.0763752914148423,609,3,1,4,0
1625472,1096914,5.756050406167508,1,0.6748279884242854,335,2,0,5,0
248984,1006331,8.656807482613713,1,4.041749670661568,738,0,1,4,0
502918,1336836,7.253812680067658,0,2.6581589841683932,891,3,0,2,0
464712,973159,6.9583308413427005,1,2.0941120521957686,894,0,0,1,0
1368727,1021129,6.408029488926761,0,0.7460428558799527,876,0,0,5,0
1704384,696701,11.224136415659967,0,0.40876997202508353,624,2,0,3,0
333767,836958,12.81321855747305,1,2.507611597311897,606,0,1,1,0
848663,380904,10.782983994203606,0,0.44882833350811807,833,3,1,1,0
1952126,1146413,6.469627095882097,0,0.5872638344041317,408,1,1,2,0
336330,568349,13.111237699334708,0,1.68985520173639,671,2,0,2,0
680754,834838,11.359547071637284,1,1.2263431430443303,656,3,1,2,0
1550224,847968,8.881657061269955,1,0.54699707913179,480,2,1,5,0
1937095,129083,11.74130295536063,1,0.06663741323992886,655,0,1,4,1
213986,608819,7.599049792428328,1,2.8451347284401782,367,0,0,1,0
786146,1369432,8.451922084942105,0,1.7419563287226545,591,3,1,4,0
1377888,1464821,14.174858431319903,1,1.0630914849392694,480,3,0,4,0
212666,827147,7.905045056714204,1,3.889418148646234,765,1,0,2,0
1549380,1098382,9.699882681579366,1,0.70891711523319,733,3,1,4,0
334633,704037,13.901411373960146,1,2.1039078632412225,763,3,0,1,0
488998,1088836,12.077213502675274,0,2.22666759373249,833,2,1,1,0
1050937,891047,5.6220322616470275,0,0.8478595767396143,365,0,1,3,0
828776,656791,6.473030442789703,0,0.7924831317509194,320,3,1,5,0
1956187,1352922,5.078415907719168,1,0.6916117937600035,683,1,1,4,0
1533382,659996,11.309217902291634,1,0.43041851280372406,858,3,1,5,1
1279111,765472,9.476734254104183,0,0.5984406357227794,338,0,0,5,0
1196107,1094244,6.342748509022755,1,0.914837886577037,584,3,1,5,0
1624289,828513,14.579341210567705,1,0.5100773322973929,896,2,0,5,1
1038688,1256237,10.296597239456199,0,1.209445954896947,635,0,1,1,0
551279,210081,7.418932941128892,0,0.3810792720201568,487,3,1,4,0
1113910,438590,10.006035711547074,1,0.39373917102818,542,2,1,3,0
1850237,943093,11.796203327351078,1,0.5097147014139269,372,0,0,5,0
1896548,731503,5.762392179735645,1,0.3857023391973206,778,3,0,3,1
689570,1104730,7.74703815047892,0,1.6020563539597141,860,2,0,1,0
1705127,727164,13.069654908839937,0,0.42645738411273765,400,1,0,1,0
1521685,1009192,9.596648704026613,0,0.6632069055027815,813,2,1,2,0
224538,1162864,10.465771420322948,0,5.178918490411423,475,1,1,5,0
1094498,101195,9.328160022094693,1,0.09245791221180852,537,3,0,2,0
401664,332725,5.438999426430051,0,0.8283664953792225,358,2,0,3,0
691234,495864,6.657497798201559,0,0.7173605465008955,398,1,0,4,0
339182,342231,9.455416387418909,1,1.0089892741949749,794,0,1,2,0
1721101,755290,7.091854654079278,1,0.4388411836376831,813,2,0,1,0
1406914,214053,5.499790286596787,1,0.15214362782657648,596,3,0,5,0
384064,643586,13.436496640518238,0,1.6757259206798867,510,0,1,3,0
414020,1138075,14.811925291641158,1,2.7488406357180812,422,1,0,1,0
1239577,1486536,12.931428739967394,1,1.199228446478113,528,2,1,4,0
823094,495485,13.53784921704667,0,0.6019786318452085,893,2,1,5,0
1097421,1343774,7.419771303170454,0,1.2244835846953903,687,3,1,4,0
815270,1409507,14.606269755131997,1,1.7288836827063427,439,0,1,4,0
1894490,1396208,6.969257044534284,0,0.7369835681370712,840,2,1,5,0
1367752,386585,14.514298103618323,1,0.2826426135732209,690,2,0,5,1
1117710,72431,14.94819293965951,1,0.06480303477646258,569,0,0,4,0
1466702,1422401,12.117228057460487,0,0.9697955003811272,311,2,1,3,0
418969,1293131,14.81143731791822,1,3.086459857411885,688,0,1,5,0
322409,697008,10.695397795671036,0,2.161875133758673,636,0,0,1,0
1796283,623441,7.595417831760903,0,0.3470728164771364,805,0,0,2,0
453618,318512,9.369958856656208,0,0.7021590853978458,405,3,1,3,0
969598,948792,10.93560935378786,1,0.9785416224043366,331,0,0,5,0
1298591,226076,5.73081562027015,0,0.1740933057444569,373,0,0,5,0
972838,1318300,11.223432646172462,0,1.3551074279582007,470,1,1,3,0
1370672,1413046,14.811778367622946,1,1.030914762977576,368,1,0,2,0
1879923,728758,6.901076497837276,1,0.3876531113242404,661,3,0,4,1
1433916,803753,12.925951162883834,1,0.5605300449956623,732,0,0,1,0
1359263,100861,14.078987937796194,1,0.0742027113222386,399,1,0,5,0
1074371,1436617,14.437015928202207,0,1.3371703070913121,308,1,1,2,0
1659933,1311553,14.601356044054473,0,0.7901240592240771,873,2,0,1,0
935716,701406,10.21459638721472,0,0.74959282517345,328,0,1,3,0
1354454,771001,14.773079079915037,1,0.5692338019600518,413,1,0,5,0
1975846,59078,12.573102071344389,1,0.02990010355058036,761,3,1,4,1
1173548,374912,6.616714362369619,0,0.3194688244537079,442,2,1,3,0
1446862,908058,9.7690010646797,1,0.6276051205989237,689,2,0,5,0
